"paper_id"|"journal_issue"|"type"|"title"
198969|23039|Olgu Sunumu|Severe Undervirilisation in a 46,XY Case Due to a  Novel Mutation in HSD17B3 Gene
20764|1376|Olgu Sunumu|Erişkinlerde Meckel divertikülü
150322|14555|Olgu Sunumu|A rare cause of fever in the emergency department: anhidrotic ectodermal dysplasia 
249499|22720|Olgu Sunumu|Endobronchial Lipoma Presenting with Localised Wheezes: A Case Report
249501|22720|Olgu Sunumu|Flexor Digitorum Profundus Injury in a Newborn: A Case Report
249505|22720|Olgu Sunumu|Distal Renal Tubular Acidosis Presenting as Recurrent Paralytic Crises  A Case Report
240887|23970|Olgu Sunumu|The novel use of combined IL-1 and IL-6 inhibition in a patient with severe, aggressive, erosive, systemic-onset juvenile idiopathic arthritis
279423|24184|Olgu Sunumu|Emergency Surgical Treatment in Primary Cerebral Hydatid Cyst: A Case Report and Review of the Literature
116684|3768|Olgu Sunumu|A rare coexistence: left coronary arteries arising from a double right coronary artery
127040|216|Olgu Sunumu|Transcatheter treatment of interrupted arcus aorta in two adolescents 
53854|3035|Olgu Sunumu|Atypical microtia correction with multiple Z-plasties
241480|3826|Olgu Sunumu|"Long and single-piece thrombus aspirated from right coronary artery in inferior
ST-elevation myocardial infarction"
271560|12128|Olgu Sunumu|A rare cause of non-discogenic sciatica; musculus gemellus inferior:  A case report
200621|23217|Olgu Sunumu|Blue-Black and Skin Peeled Breasts
20763|1376|Olgu Sunumu|Robert sendromu
178234|74|Olgu Sunumu|Hand injury with a nail gun: a case report with literature review Correspondence: Hakan Boya, MD. Başkent Üniversitesi Zübeyde Hanım Hastanesi, Ortopedi ve Travmatoloji Anabilim Dalı, Bostanlı, Karşıyaka, İzmir, Turkey. Tel: +90 506  343 36 68 e-mail: hakanboya@yahoo.com Submitted: April 16, 2013 Accepted: July 11, 2013 ©2015 Turkish Association of Orthopaedics and Traumatology Available online at www.aott.org.tr doi: 10.3944/AOTT.2015.3263 QR (Quick Response) Code CASE REPORT Acta Orthop Traumatol Turc 2015;49(3):334337 doi: 10.3944/AOTT.2015.3263 
54294|1381|Olgu Sunumu|ITP ve düşük faktör 8 düzeyi birlikteliğine bağlı atipik kanama olgusu 
251513|23767|Olgu Sunumu|OĞUZNAME [KAZAN NÜSHASI]
73170|15261|Derleme|Tilling (Targetting induced local lesions in genomes) technology for plant functional genomics
213851|7036|Olgu Sunumu|Seroprevalence of caseous lymphadenitis in Kangal Akkaraman sheep
127688|3771|Olgu Sunumu|Subvalvular pulmonary stenosis, right ventricular hypertrophy and patent foramen ovale 
127689|3771|Olgu Sunumu|Surgical repair of interrupted aorta and ascending aortic aneurysm
127719|3771|Olgu Sunumu|Two cases of noonan syndrome: aortic coarctation causing a giant aneurysm of the descending aorta 
267300|24314|Derleme|Plant-Derived Antimicrobials: Insights into Mitigation of Antimicrobial Resistance
20178|172|Olgu Sunumu|Monitorization of fetal and placental perfusion during surgical management of aortic coarctation in a pregnant woman
179966|77|Olgu Sunumu|The complete type of suprapatellar plica and lipoma arborescens: a case report
103639|14403|Derleme|Tıbbi hastalığa psikososyal tepkiler 
268035|24277|Olgu Sunumu|Post-traumatic Intraorbital Foreign Object Tangential  to the Intact Globe: An Unusual Location
282595|22726|Olgu Sunumu|Leiomyoma of the Bladder in a 23-year-old Male: Case Report
218465|1827|Olgu Sunumu|Clozapine and Aripiprazole-Induced Stuttering: A Case Report of Turner Syndrome with Schizophrenia
218742|2907|Derleme|Diagnosis and treatment of iron deficiency anemia in patients with  inflammatory bowel disease and gastrointestinal bleeding:  iron deficiency anemia working group consensus report
22142|2730|Olgu Sunumu|Karaciğerde hedef benzeri görünüm oluşturan inflamatuar psödotümör olgusu
180633|7130|Olgu Sunumu|First record of Russellaspis p ustulans (Cockerell) (Hemiptera: Asterolecaniidae) in Turkey
244088|24031|Olgu Sunumu|Treatment of a Class II Case with Palatally Inserted  Distalization Mechanics in an Epilepsy Patient
207355|2904|Derleme|Stem cell transplantation for the treatment of liver diseases:  A systematic review and meta-analysis
244933|2912|Olgu Sunumu|Single-operator holmium laser lithotripsy under direct peroral cholangioscopy using an ultra-slim upper endoscope in a patient with a large stone in the common bile duct
173755|21336|Olgu Sunumu|Coil embolization of iatrogenic  coronary-pulmonary arterial fistula  after heart transplantation
173763|21336|Olgu Sunumu|Short QT syndrome in a 14-year-old  patient: The first pediatric case from  Turkey
56201|26193|Olgu Sunumu|Ayın olgusu
245220|7039|Olgu Sunumu|Aggressive osteoblastoma of the cervical vertebrae in a Turkish Angora cat
245254|24035|Olgu Sunumu|Non-Extraction Treatment of Skeletal Class II Adult Patient with Total Maxillary Arch Distalization
321629|38327|Derleme|SULTANİYE (KARAPINAR) II. SELİM KÜLLİYESİ VAKFI’NIN  KURULUŞU, GÖREVLİLERİ VE GELİRLERİ 
245317|24036|Derleme|Which Orthodontic Wire and Working Sequence Should be Preferred for Alignment Phase? A Review
22923|3015|Olgu Sunumu|"""Trichorhinophalangeal syndrome type I"": A Turkish case"
56346|13222|Derleme|Dominant R wave of paced QRS complexes in lead V1: What is the mechanism?
269108|24182|Olgu Sunumu|Plasmodium Vivax-Precipitated Neurological Symptoms: Central Nervous System Idiopathic Inflammatory Demyelinating Disease/Multiple Sclerosis
204345|85|Olgu Sunumu|Locked hip joint: an uncommon presentation of  localized pigmented villonodular synovitis
282593|22726|Olgu Sunumu|Retroperitoneal Urinoma after Percutaneous Nephrolithotomy
282742|21366|Olgu Sunumu|"Can rivaroxaban be a drug of
choice for treating heparin-induced
thrombocytopenia in a patient with
pulmonary thromboembolism?"
205267|21347|Olgu Sunumu|Thrombosis of the left internal mammary artery graft causing acute coronary syndrome after 4 years of coronary bypass surgery
270059|20563|Olgu Sunumu|Recovery of hypoglycemia symptoms after insulinoma  negative pancreatic surgery: Case series
270109|21339|Olgu Sunumu|Elizabethkingia meningosepticum endocarditis: A rare case and special therapy
323398|44324|Derleme|MİLLÎ EĞİTİM ŞÛRALARI VE ÖĞRETİM PROGRAMLARINDA ÖZEL YETENEKLİ ÇOCUKLARIN EĞİTİMİ 
281344|41337|Olgu Sunumu|Pediatric dural venous sinus thrombosis following closed head injury: an easily overlooked diagnosis with devastating consequences
208046|1367|Olgu Sunumu|A New Etiologic Factor for Adnexal Torsion: Congenital Omental Fenestrum
271181|3832|Olgu Sunumu|Hiatal hernia presenting like a large left atrial mass
241193|3132|Olgu Sunumu|Paracetamol infusion-related severe hypotension and cardiac  arrest in a child
83874|3745|Olgu Sunumu|Pulmoner tromboemboliye neden olan serbest yüzen dev sağ atriyal trombüs
20766|1376|Olgu Sunumu|Frontal sinüzit komplikasyonuna bağlı oluşan orbital sellülit ve subdural ampiyem
267797|23971|Olgu Sunumu|Microscopic polyangiitis with dermatomyositis
57992|11953|Olgu Sunumu|Okuyucuya: Baudelaire'nin Şiirinin Özü
58018|11953|Olgu Sunumu|Kant Etiği ile İlgisi Bakımından Kuçuradi'nin Etik Görüşü
58079|11953|Olgu Sunumu|Les Peregrinations Indochinoises D'Andre Malraux
58085|11953|Olgu Sunumu|Incipit  des Romans Beauvoiriens ou Mise en Place des Unites Romanesques
58126|11953|Olgu Sunumu|J.M.G. le Clézio'nun Çöl Adlı Romanında Dönüşümlü Anlatı Tekniği
22137|2730|Olgu Sunumu|Maksiller miksoma
22134|2730|Olgu Sunumu|Serebral süperfisyal siderozis: MRG bulguları
22144|2730|Olgu Sunumu|Diz ekleminde yerleşim gösteren tenosinovyal dev hücreli tümör
22148|2730|Olgu Sunumu|Pankreatikoduodenektomi ardından gelişen aferent ans obstrüksiyonuna bağlı sarılığın perkütan barsak drenajı ile tedavisi
22162|2731|Olgu Sunumu|Lokal rekürens bulunmaksızın akciğer metastazı gösteren dermatofibrosarkom protüberans
22166|2731|Olgu Sunumu|Amfizematöz kolesistitli olguda Mirizzi sendromu: US ve BT bulguları
22172|2731|Olgu Sunumu|Diyaliz erişim yolu problemi olan olguda direkt perkütan yolla inferior vena kavaya tünelli diyaliz kateteri yerleştirilmesi
22182|2732|Olgu Sunumu|Retroperitoneal malign mezankimomanın radyolojik bulguları
131653|3773|Olgu Sunumu|Paroksismal atriyal fibrilasyon gelişen bir olguda büyük interatriyal septal anevrizma
58393|182|Olgu Sunumu|Kawasaki disease recurrence with cardiac tamponade
58434|182|Olgu Sunumu|Patent ductus arteriosus with right-to-left shunt can be diagnosed by direct visualization of microbubbles passage into descending aorta during contrast echocardiography
58442|182|Olgu Sunumu|Giant aneurysm of a tiny coronary branch
273172|23673|Olgu Sunumu|Magnetic resonance imaging findings of a patient with bilateral submandibular gland aplasia
230827|22713|Olgu Sunumu|Magnetic Resonance Imaging Findings of Pediatric Neurobrucellosis
22914|3014|Olgu Sunumu|Carcinoma of the cecum: An unusual cause of Fournier's gangrene
22916|3014|Olgu Sunumu|Treatment of clot retention with intravesical streptokinase instillation: A case report
23509|5065|Derleme|Experiences on transfer of management of technology for ascochyta blight of chickpea in Turkey
58685|1345|Olgu Sunumu|A case with giant vulvar skin tag: Fibroepithelial polyp (Acrochordon)
241439|19545|Olgu Sunumu|"Multi-disciplinary approach for the treatment of maxillary anterior teeth with luxation
injuries and complicated crown fractures: A case report"
24178|7050|Derleme|Filogenetik sistematik: Terimleri, prensipleri ve çalışma tekniği üzerine kısa bir derleme
178235|74|Olgu Sunumu|Rhabdomyolysis after tourniquet use in proximal tibial osteotomy: a case report and review of the literature
25033|7558|Derleme|Tierpopulation, tierhaltung und tierernaehrung in der Turkei
256249|20905|Olgu Sunumu|Early Osteoarthritis and Double-Layered Patella in a Patient With  Multiple Epiphyseal Dysplasia
233607|3176|Derleme|Anatomy of the Middle Cerebral Artery: Cortical Branches,  Branching Pattern and Anomalies
233651|23049|Olgu Sunumu|Pancreatic Agenesis due to Compound Heterozygosity for a Novel  Enhancer and Truncating Mutation in the PTF1A Gene
25411|7353|Olgu Sunumu|Köpekte buccal mukozal fleb ve kaydırma deri grefti ile burun boşluğuna penetre maddi kayıplı yaranın sağaltımı
126125|214|Olgu Sunumu|Acute renal failure due to fenofibrate monotherapy
20786|1377|Olgu Sunumu|Yaygın lenfadenopati ile seyreden mikst kollajen doku hastalığı
256920|23378|Derleme|Semantic interpretations in memory
208510|20130|Olgu Sunumu|Uterine Cervix Metastasis of Myxopapillary Ependymoma  Originated from the Spinal Cord
236835|14562|Olgu Sunumu|Weakness in the Emergency Department: Hypokalemic Periodic Paralysis Induced By Strenuous Physical Activity
257447|16250|Olgu Sunumu|Benign Malformative Lesion of the Skull: Hamartoma with Ectopic Elements or Choristoma?
257467|23670|Olgu Sunumu|Post-catheterization giant pseudoaneurysm of the femoral artery: an delayed clinical presentation
127691|3771|Olgu Sunumu|Incidental detection of pulmonary hamartoma by echocardiography
238425|20138|Olgu Sunumu|A Case Report of a Very Rare Association of Tyrosinemia type I and Pancreatitis Mimicking Neurologic Crisis of Tyrosinemia Type I
244098|24032|Derleme|Various Contemporary Intraoral Anchorage Mechanics Supported with Temporary Anchorage Devices
253079|3134|Olgu Sunumu|"""Silent"" ?-thalassemia mutation (promoter nt-101 C > T)
with increased hemoglobin A2"
144376|20117|Derleme|Residual Fragments after Percutaneous Nephrolithotomy
60534|12390|Derleme|Çiiftlik Ormancılığı
60878|12145|Olgu Sunumu|Tüberküloz tenosinoviti: Nadir bir kronik enfeksiyon tablosu
244870|24034|Olgu Sunumu|Orthodontic Correction of a Mandibular Lateral Incisor and Canine Incomplete Transposition in the Permanent Dentition
34495|7746|Derleme|The preparation of platinum and gold single crystal surfaces and voltammetric behaviours of these electrodes
34727|8272|Derleme|Türkiye' de kıyı alanları konusunda geçmişten günümüze ulusal mevzuat
255988|7410|Olgu Sunumu|Rare angiosarcoma of inferior turbinate; A case report and literature review
35250|9658|Derleme|Mimarlıkta estetik değerler
36751|8276|Derleme|Karayollarında uygulanan aplikasyon yöntemleri
211218|23669|Olgu Sunumu|Concurrent cases of bilateral anterior shoulder dislocation: our observations in three cases
273389|24279|Olgu Sunumu|Medical Management of Non-Progressive Periorbital Necrotizing Fasciitis
37289|9670|Derleme|Mimarlık eğitiminde fütüroloji
37600|12383|Derleme|Köklerin serbest yayılışını engellemeyen topraklarda I-214 kavak klonunun oluşturduğu kök sistemi
277594|3189|Olgu Sunumu|Spinal Intradural Primary Malignant Peripheral Nerve Sheath Tumor with Leptomeningeal Seeding: Case Report and Literature Review
161555|1818|Derleme|Tumor necrosis factor and alzheimers disease: A cause and consequence relationship
259803|23088|Olgu Sunumu|Complete absence of fallopian tube and adjacent ovary in a fertile patient
39125|12384|Derleme|Yalancı akasya (Robinia Pseudoacacia)hastalıkları
39127|12384|Derleme|Feromonların zararlı böceklerle mücadelede kullanılması
39129|12384|Derleme|Kent içi ve çevresinde yapılacak ağaçlandırmalarda arazi etüdü
259849|23408|Derleme|PART I: Microwave-Assisted Synthesis of Benzimidazoles: An Overview  (Until 2013)
162115|3789|Derleme|Almanac 2013: cardiac arrhythmias and pacing-an editorial overview of selected research that has driven recent advances in clinical cardiology
330606|47612|Derleme|ر املَه ُّيف يف شِ صو ال ُّ ُ االجتاه ُ ُه ت َ َِن  َكو ُ م ُ ُه َالِمِ وم 
70840|189|Olgu Sunumu|A case of multiple ascending aorta and aortic arch thrombi causing simultaneous cerebral and peripheral embolism
132811|19644|Derleme|Growing new generation of nurse-researchers
84842|3239|Olgu Sunumu|Anticlockwise migrating infiltration in both Lungs
132909|19649|Derleme|Pozitivisme yöneltilen eleştiriler
260322|20141|Olgu Sunumu|Retrograde Cerebral Air Embolism in a Patient with Intestinal Necrosis:
51072|3031|Derleme|Importance of calcium
100739|9178|Derleme|A review of high frequency surface wave radar for detection and tracking of ships
260996|22721|Olgu Sunumu|The Cause of Foot-Drop in a Patient with Ganglion Cyst in Lumbar Region: A Case Report
63577|183|Olgu Sunumu|Combined surgery for ischemic heart disease and breast cancer in a male: A case report
41503|2450|Olgu Sunumu|One-stage correction of a 160 degree penile torsion associated with chordee and distal hypospadias: Case report
261404|3831|Olgu Sunumu|Successful ablation of paroxysmal atrial fibrillation originating in left atrial appendage with single shot cryoballoon technique
63736|184|Olgu Sunumu|Renal transplantasyonlu bir hastada “off-pump” koroner arter baypas cerrahisi
197541|23065|Olgu Sunumu|Testicular fibrous hamartoma: A case report
168468|20891|Olgu Sunumu|Primary Axillary Lipogranuloma in a Patient With Systemic Lupus Erythematosus
87039|12244|Derleme|Oftalmolojide dil birlikteliği ve Türkçe'miz
133899|17789|Derleme|Kars yöresinde malakanlar’dan kalan ve   kaybolmak üzere olan rençberlik geleneği
215893|22562|Derleme|Yeni Medya ve Toplumsal Etkileri: Facebook Üzerine Bir Araştırma
41500|2450|Olgu Sunumu|Extensive heterotropic brain tissue of the face: A review and report of an unusual case
41502|2450|Olgu Sunumu|Bilateral abdominoscrotal hydrocele in an infant
41504|2450|Olgu Sunumu|İmipramin sağaltımı sırasında ortaya çıkan bir feokromositoma olgusu
64283|185|Olgu Sunumu|A surgical salvage case with active endocarditis and aortic coarctation 
199118|23041|Olgu Sunumu|A Deep Intronic HADH Splicing Mutation  (c.636+471G>T) in a Congenital Hyperinsulinemic  Hypoglycemia Case: Long Term Clinical Course
64348|186|Olgu Sunumu|Dev Osborn dalgaları görülen bir hipotermi olgusu
38487|1337|Olgu Sunumu|Giant anovulvar condyloma acuminata in pregnancy
262673|3185|Derleme|The Biochemical, Histopathological and Clinical Comparison of the Neuroprotective Effects of Subcutaneous Adalimumab and Intravenous Methylprednisolone in an Experimental Compressive Spinal Cord Trauma Model
139713|14248|Olgu Sunumu|Kulak kepçesinde lezyon olan 11 aylık kız çocuk 
56467|11952|Olgu Sunumu|Murphy'nin Peşinde: Varlık ve Hiçliğin Bir Arayışı
282778|3126|Olgu Sunumu|Two cases of hereditary benign telangiectasia in Turkey:  sporadic occurrence with punctate telangiectasias surrounded  by anemic- halos
1679|10592|Derleme|Dil Öğreniminde Bireysel Özellikler ve Ayırtedici Etkenler
223216|23967|Olgu Sunumu|Catastrophic antiphospholipid syndrome treated with  rituximab: A case report
213868|7135|Olgu Sunumu|A new locality record for Phoenicolacerta laevis (Gray, 1838)(Squamata: Lacertidae) in western Anatolia
263383|39475|Olgu Sunumu|Rectosigmoidoscopy complicated by bilateral pneumothoraces, pneumomediastinum, pneumoperitoneum, pneumoretroperitoneum, and pneumoderma
202820|23044|Olgu Sunumu|Gonadoblastoma and Papillary Tubal Hyperplasia in Ovotesticular  Disorder of Sexual Development
45499|3028|Olgu Sunumu|Multiple aneurysms of the left external jugular vein
223689|23961|Olgu Sunumu|Severe candida laryngitis in a patient with rheumatoid  arthritis treated with adalimumab
253085|3134|Olgu Sunumu|Pulmonary vascular anomalies: a review of clinical and  radiological findings of cases presenting with different  complaints in childhood
253312|23753|Olgu Sunumu|Angioedema caused by oral paliperidone augmentation in the major depressive disorder treatment: a case report
192451|23539|Olgu Sunumu|A rare malignancy in a patient with neurofibromatosis: gastric adenocarcinoma
93288|2866|Olgu Sunumu|A case of polyarteritis nodosa diagnosed after recurrent, multiple intestinal perforations
282589|22726|Olgu Sunumu|Pancreatic Involvement of Burkitt Lymphoma in a Child and Review of the Literature
282591|22726|Olgu Sunumu|Incest Relationship between a Sister and Mentally Retarded Brother which Resulted in Pregnancy and Birth: A Case Report
72492|1390|Olgu Sunumu|Bağışıklığı baskılanmış hastada gelişen Trichosporon asahii infeksiyonu
72494|1390|Olgu Sunumu|Doksisiklin-streptomisin tedavisi sonrası nükseden Brucella abortus'a bağlı brusella hepatiti 
193225|21729|Derleme|CIM VE COTIFE İLİŞKİN OLARAK 2014 YILINDA VERİLEN BAZI YARGITAY KARARLARI 
282776|3126|Olgu Sunumu|Tuberculous liver abscess in an immunocompetent child with  pulmonary tuberculosis as a cause of fever of unknown origin
52649|3033|Olgu Sunumu|Amputated tuba-ovarian torsion in a newborn
205042|21991|Olgu Sunumu|Pericardioperitoneal Fenestration for  Chylopericardium
